country,views,estimatedMinutesWatched,averageViewDuration,averageViewPercentage
KR,1318,74,11,56.14
UZ,423,22,8,91.15
JP,290,12,7,78.77
ID,218,9,10,107.48
IQ,142,7,10,149.27
SY,118,5,6,110.86
DZ,115,4,8,161.37
MM,110,5,7,67.29
KG,85,5,8,69.08
VN,80,2,6,63.53
IN,71,4,11,107.06
MA,69,2,6,123.12
TH,67,3,11,99.38
EG,61,2,7,156.47
KZ,55,1,4,81.94
