"Date","Total Viewers","New Viewers","Returning Viewers"
"August 2","undefined","0","0"
"August 3","undefined","0","0"
"August 4","undefined","0","0"
"August 5","undefined","0","0"
"August 6","undefined","0","0"
"August 7","undefined","0","0"
"August 8","undefined","0","0"
"August 9","undefined","0","0"
"August 10","undefined","0","0"
"August 11","undefined","0","0"
"August 12","undefined","0","0"
"August 13","undefined","0","0"
"August 14","undefined","0","0"
"August 15","undefined","0","0"
"August 16","undefined","0","0"
"August 17","undefined","0","0"
"August 18","undefined","0","0"
"August 19","undefined","0","0"
"August 20","undefined","0","0"
"August 21","undefined","0","0"
"August 22","undefined","0","0"
"August 23","undefined","0","0"
"August 24","undefined","0","0"
"August 25","undefined","0","0"
"August 26","undefined","0","0"
"August 27","undefined","0","0"
"August 28","undefined","0","0"
"August 29","undefined","0","0"
"August 30","undefined","0","0"
"August 31","undefined","0","0"
"September 1","undefined","0","0"
"September 2","undefined","0","0"
"September 3","undefined","0","0"
"September 4","undefined","0","0"
"September 5","undefined","0","0"
"September 6","undefined","0","0"
"September 7","undefined","0","0"
"September 8","undefined","0","0"
"September 9","undefined","0","0"
"September 10","undefined","0","0"
"September 11","undefined","0","0"
"September 12","undefined","0","0"
"September 13","undefined","0","0"
"September 14","undefined","0","0"
"September 15","undefined","0","0"
"September 16","undefined","0","0"
"September 17","undefined","0","0"
"September 18","undefined","0","0"
"September 19","undefined","0","0"
"September 20","undefined","0","0"
"September 21","undefined","0","0"
"September 22","undefined","0","0"
"September 23","undefined","0","0"
"September 24","undefined","0","0"
"September 25","undefined","0","0"
"September 26","undefined","0","0"
"September 27","undefined","0","0"
"September 28","undefined","0","0"
"September 29","undefined","0","0"
"September 30","undefined","0","0"
"October 1","undefined","0","0"
"October 2","undefined","0","0"
"October 3","undefined","0","0"
"October 4","undefined","0","0"
"October 5","undefined","0","0"
"October 6","undefined","0","0"
"October 7","undefined","0","0"
"October 8","undefined","0","0"
"October 9","undefined","0","0"
"October 10","undefined","0","0"
"October 11","undefined","0","0"
"October 12","undefined","0","0"
"October 13","undefined","0","0"
"October 14","undefined","0","0"
"October 15","undefined","0","0"
"October 16","undefined","0","0"
"October 17","undefined","0","0"
"October 18","undefined","0","0"
"October 19","undefined","0","0"
"October 20","undefined","0","0"
"October 21","undefined","0","0"
"October 22","undefined","0","0"
"October 23","undefined","0","0"
"October 24","undefined","0","0"
"October 25","undefined","0","0"
"October 26","undefined","0","0"
"October 27","undefined","0","0"
"October 28","undefined","0","0"
"October 29","undefined","0","0"
"October 30","undefined","0","0"
"October 31","undefined","0","0"
"November 1","undefined","0","0"
"November 2","undefined","0","0"
"November 3","undefined","0","0"
"November 4","undefined","0","0"
"November 5","undefined","0","0"
"November 6","undefined","0","0"
"November 7","undefined","0","0"
"November 8","undefined","0","0"
"November 9","undefined","0","0"
"November 10","undefined","0","0"
"November 11","undefined","0","0"
"November 12","undefined","0","0"
"November 13","undefined","0","0"
"November 14","undefined","0","0"
"November 15","undefined","0","0"
"November 16","undefined","0","0"
"November 17","undefined","0","0"
"November 18","undefined","0","0"
"November 19","undefined","0","0"
"November 20","undefined","0","0"
"November 21","undefined","0","0"
"November 22","undefined","0","0"
"November 23","undefined","0","0"
"November 24","undefined","0","0"
"November 25","undefined","0","0"
"November 26","undefined","0","0"
"November 27","undefined","0","0"
"November 28","undefined","0","0"
"November 29","undefined","0","0"
"November 30","undefined","0","0"
"December 1","undefined","0","0"
"December 2","undefined","0","0"
"December 3","undefined","0","0"
"December 4","undefined","0","0"
"December 5","undefined","0","0"
"December 6","undefined","0","0"
"December 7","undefined","0","0"
"December 8","undefined","0","0"
"December 9","undefined","0","0"
"December 10","undefined","0","0"
"December 11","undefined","0","0"
"December 12","undefined","0","0"
"December 13","undefined","0","0"
"December 14","undefined","0","0"
"December 15","undefined","0","0"
"December 16","undefined","0","0"
"December 17","undefined","0","0"
"December 18","undefined","0","0"
"December 19","undefined","0","0"
"December 20","undefined","0","0"
"December 21","undefined","0","0"
"December 22","undefined","0","0"
"December 23","undefined","0","0"
"December 24","undefined","0","0"
"December 25","undefined","0","0"
"December 26","undefined","0","0"
"December 27","undefined","0","0"
"December 28","undefined","0","0"
"December 29","undefined","0","0"
"December 30","undefined","0","0"
"December 31","undefined","0","0"
"January 1","undefined","0","0"
"January 2","undefined","0","0"
"January 3","undefined","0","0"
"January 4","undefined","0","0"
"January 5","undefined","0","0"
"January 6","undefined","0","0"
"January 7","undefined","0","0"
"January 8","undefined","0","0"
"January 9","undefined","0","0"
"January 10","undefined","0","0"
"January 11","undefined","0","0"
"January 12","undefined","0","0"
"January 13","undefined","0","0"
"January 14","undefined","0","0"
"January 15","undefined","0","0"
"January 16","undefined","0","0"
"January 17","undefined","0","0"
"January 18","undefined","0","0"
"January 19","undefined","0","0"
"January 20","undefined","0","0"
"January 21","undefined","0","0"
"January 22","undefined","0","0"
"January 23","undefined","0","0"
"January 24","undefined","0","0"
"January 25","undefined","0","0"
"January 26","undefined","0","0"
"January 27","undefined","0","0"
"January 28","undefined","0","0"
"January 29","undefined","0","0"
"January 30","undefined","0","0"
"January 31","undefined","0","0"
"February 1","undefined","0","0"
"February 2","undefined","0","0"
"February 3","undefined","0","0"
"February 4","undefined","0","0"
"February 5","undefined","0","0"
"February 6","undefined","0","0"
"February 7","undefined","0","0"
"February 8","undefined","0","0"
"February 9","undefined","0","0"
"February 10","undefined","0","0"
"February 11","undefined","0","0"
"February 12","undefined","0","0"
"February 13","undefined","0","0"
"February 14","undefined","0","0"
"February 15","undefined","0","0"
"February 16","undefined","0","0"
"February 17","undefined","0","0"
"February 18","undefined","0","0"
"February 19","undefined","0","0"
"February 20","undefined","0","0"
"February 21","undefined","0","0"
"February 22","undefined","0","0"
"February 23","undefined","0","0"
"February 24","undefined","0","0"
"February 25","undefined","0","0"
"February 26","undefined","0","0"
"February 27","undefined","0","0"
"February 28","undefined","0","0"
"March 1","undefined","0","0"
"March 2","undefined","0","0"
"March 3","undefined","0","0"
"March 4","undefined","0","0"
"March 5","undefined","0","0"
"March 6","undefined","0","0"
"March 7","undefined","0","0"
"March 8","undefined","0","0"
"March 9","undefined","0","0"
"March 10","undefined","0","0"
"March 11","undefined","0","0"
"March 12","undefined","0","0"
"March 13","undefined","0","0"
"March 14","undefined","0","0"
"March 15","undefined","0","0"
"March 16","undefined","0","0"
"March 17","undefined","0","0"
"March 18","undefined","0","0"
"March 19","undefined","0","0"
"March 20","undefined","0","0"
"March 21","undefined","0","0"
"March 22","undefined","0","0"
"March 23","undefined","0","0"
"March 24","undefined","0","0"
"March 25","undefined","0","0"
"March 26","undefined","0","0"
"March 27","undefined","0","0"
"March 28","undefined","0","0"
"March 29","undefined","0","0"
"March 30","undefined","0","0"
"March 31","undefined","0","0"
"April 1","undefined","0","0"
"April 2","undefined","0","0"
"April 3","undefined","0","0"
"April 4","undefined","0","0"
"April 5","undefined","0","0"
"April 6","undefined","0","0"
"April 7","undefined","0","0"
"April 8","undefined","0","0"
"April 9","0","0","0"
"April 10","602","600","2"
"April 11","789","764","25"
"April 12","668","527","141"
"April 13","288","190","98"
"April 14","12","10","2"
"April 15","79","55","24"
"April 16","404","286","118"
"April 17","334","233","101"
"April 18","234","150","84"
"April 19","2","0","2"
"April 20","3","3","0"
"April 21","3","1","2"
"April 22","4","4","0"
"April 23","1","0","1"
"April 24","1","1","0"
"April 25","1","1","0"
"April 26","2","1","1"
"April 27","8","8","0"
"April 28","16","16","0"
"April 29","12","12","0"
"April 30","794","564","230"
"May 1","492","302","190"
"May 2","17","16","1"
"May 3","902","552","350"
"May 4","747","484","263"
"May 5","118","51","67"
"May 6","1313","968","345"
"May 7","1312","968","344"
"May 8","1171","691","480"
"May 9","1172","692","480"
"May 10","858","576","282"
"May 11","273","139","134"
"May 12","165","116","49"
"May 13","77","63","14"
"May 14","1","0","1"
"May 15","8","7","1"
"May 16","4","2","2"
"May 17","0","0","0"
"May 18","4","4","0"
"May 19","691","436","255"
"May 20","644","383","261"
"May 21","748","509","239"
"May 22","1295","793","502"
"May 23","616","320","296"
"May 24","468","245","223"
"May 25","108","65","43"
"May 26","3","2","1"
"May 27","12","8","4"
"May 28","5","4","1"
"May 29","9","7","2"
"May 30","9","7","2"
"May 31","5","3","2"
"June 1","10","7","3"
"June 2","3","2","1"
"June 3","11","9","2"
"June 4","5","3","2"
"June 5","136","114","22"
"June 6","136","114","22"
"June 7","77","61","16"
"June 8","15","13","2"
"June 9","18","15","3"
"June 10","4","3","1"
"June 11","14","11","3"
"June 12","19","15","4"
"June 13","15","12","3"
"June 14","24","16","8"
"June 15","23","18","5"
"June 16","935","641","294"
"June 17","812","468","344"
"June 18","1263","752","511"
"June 19","604","273","331"
"June 20","246","102","144"
"June 21","32","22","10"
"June 22","23","12","11"
"June 23","11","10","1"
"June 24","193","128","65"
"June 25","2263","2115","148"
"June 26","1249","1115","134"
"June 27","20","13","7"
"June 28","21","15","6"
"June 29","16","11","5"
"June 30","12","9","3"
"July 1","14","7","7"
"July 2","24","14","10"
"July 3","21","17","4"
"July 4","26","15","11"
"July 5","28","22","6"
"July 6","22","14","8"
"July 7","12","11","1"
"July 8","12","11","1"
"July 9","10","7","3"
"July 10","15","11","4"
